Alue_id,Alue,Vuosi,Lkm
211101001,Saarenmaa,2010,366
211101002,Haapaniemi,2010,240
211101003,Kuohenmaa,2010,191
211102001,Ilkko,2010,1386
211102002,Vatiala,2010,3458
211102003,Lamminrahka,2010,0
211103001,Lentola,2010,4885
211103002,Asema,2010,1678
211104001,Ruutana,2010,2641
211104002,Suinula,2010,884
211104003,Lihasula,2010,158
211105001,Ranta-Koivisto,2010,1344
211105002,Riku,2010,780
211105003,Keskusta,2010,4799
211105004,Huutijärvi,2010,1561
211106001,Tiihala,2010,165
211106002,Saarikylät,2010,236
211106003,Vääksy,2010,307
211106004,Raudanmaa,2010,651
211106005,Raikku,2010,372
211201001,Sahalahti,2010,1491
211201002,Lahdenkulma,2010,338
211201003,Pakkala,2010,540
211202001,Kuhmalahden kirkonkylä,2010,597
211202002,Pohja,2010,304
211202003,Vehkajärvi,2010,147
211101001,Saarenmaa,2011,361
211101002,Haapaniemi,2011,236
211101003,Kuohenmaa,2011,194
211102001,Ilkko,2011,1351
211102002,Vatiala,2011,3555
211102003,Lamminrahka,2011,0
211103001,Lentola,2011,4879
211103002,Asema,2011,1763
211104001,Ruutana,2011,2672
211104002,Suinula,2011,901
211104003,Lihasula,2011,164
211105001,Ranta-Koivisto,2011,1358
211105002,Riku,2011,766
211105003,Keskusta,2011,4808
211105004,Huutijärvi,2011,1587
211106001,Tiihala,2011,189
211106002,Saarikylät,2011,234
211106003,Vääksy,2011,301
211106004,Raudanmaa,2011,651
211106005,Raikku,2011,368
211201001,Sahalahti,2011,1471
211201002,Lahdenkulma,2011,338
211201003,Pakkala,2011,536
211202001,Kuhmalahden kirkonkylä,2011,593
211202002,Pohja,2011,298
211202003,Vehkajärvi,2011,151
211101001,Saarenmaa,2012,373
211101002,Haapaniemi,2012,246
211101003,Kuohenmaa,2012,186
211102001,Ilkko,2012,1323
211102002,Vatiala,2012,3594
211102003,Lamminrahka,2012,0
211103001,Lentola,2012,5009
211103002,Asema,2012,1825
211104001,Ruutana,2012,2742
211104002,Suinula,2012,911
211104003,Lihasula,2012,161
211105001,Ranta-Koivisto,2012,1342
211105002,Riku,2012,775
211105003,Keskusta,2012,4818
211105004,Huutijärvi,2012,1592
211106001,Tiihala,2012,188
211106002,Saarikylät,2012,225
211106003,Vääksy,2012,302
211106004,Raudanmaa,2012,653
211106005,Raikku,2012,351
211201001,Sahalahti,2012,1458
211201002,Lahdenkulma,2012,345
211201003,Pakkala,2012,524
211202001,Kuhmalahden kirkonkylä,2012,602
211202002,Pohja,2012,282
211202003,Vehkajärvi,2012,148
211101001,Saarenmaa,2013,365
211101002,Haapaniemi,2013,246
211101003,Kuohenmaa,2013,189
211102001,Ilkko,2013,1342
211102002,Vatiala,2013,3641
211102003,Lamminrahka,2013,0
211103001,Lentola,2013,5042
211103002,Asema,2013,1841
211104001,Ruutana,2013,2860
211104002,Suinula,2013,915
211104003,Lihasula,2013,164
211105001,Ranta-Koivisto,2013,1320
211105002,Riku,2013,767
211105003,Keskusta,2013,4828
211105004,Huutijärvi,2013,1602
211106001,Tiihala,2013,198
211106002,Saarikylät,2013,224
211106003,Vääksy,2013,304
211106004,Raudanmaa,2013,659
211106005,Raikku,2013,353
211201001,Sahalahti,2013,1430
211201002,Lahdenkulma,2013,353
211201003,Pakkala,2013,511
211202001,Kuhmalahden kirkonkylä,2013,605
211202002,Pohja,2013,285
211202003,Vehkajärvi,2013,147
211101001,Saarenmaa,2014,368
211101002,Haapaniemi,2014,243
211101003,Kuohenmaa,2014,177
211102001,Ilkko,2014,1338
211102002,Vatiala,2014,3647
211102003,Lamminrahka,2014,0
211103001,Lentola,2014,5025
211103002,Asema,2014,1957
211104001,Ruutana,2014,2897
211104002,Suinula,2014,922
211104003,Lihasula,2014,161
211105001,Ranta-Koivisto,2014,1326
211105002,Riku,2014,802
211105003,Keskusta,2014,4839
211105004,Huutijärvi,2014,1613
211106001,Tiihala,2014,198
211106002,Saarikylät,2014,228
211106003,Vääksy,2014,305
211106004,Raudanmaa,2014,664
211106005,Raikku,2014,341
211201001,Sahalahti,2014,1403
211201002,Lahdenkulma,2014,343
211201003,Pakkala,2014,493
211202001,Kuhmalahden kirkonkylä,2014,600
211202002,Pohja,2014,277
211202003,Vehkajärvi,2014,139
211101001,Saarenmaa,2015,369
211101002,Haapaniemi,2015,243
211101003,Kuohenmaa,2015,183
211102001,Ilkko,2015,1340
211102002,Vatiala,2015,3794
211102003,Lamminrahka,2015,0
211103001,Lentola,2015,5024
211103002,Asema,2015,1946
211104001,Ruutana,2015,2919
211104002,Suinula,2015,917
211104003,Lihasula,2015,148
211105001,Ranta-Koivisto,2015,1336
211105002,Riku,2015,806
211105003,Keskusta,2015,4836
211105004,Huutijärvi,2015,1589
211106001,Tiihala,2015,192
211106002,Saarikylät,2015,225
211106003,Vääksy,2015,310
211106004,Raudanmaa,2015,654
211106005,Raikku,2015,344
211201001,Sahalahti,2015,1426
211201002,Lahdenkulma,2015,347
211201003,Pakkala,2015,495
211202001,Kuhmalahden kirkonkylä,2015,579
211202002,Pohja,2015,266
211202003,Vehkajärvi,2015,138
211101001,Saarenmaa,2016,374
211101002,Haapaniemi,2016,245
211101003,Kuohenmaa,2016,184
211102001,Ilkko,2016,1366
211102002,Vatiala,2016,3907
211102003,Lamminrahka,2016,0
211103001,Lentola,2016,5244
211103002,Asema,2016,2039
211104001,Ruutana,2016,2946
211104002,Suinula,2016,902
211104003,Lihasula,2016,152
211105001,Ranta-Koivisto,2016,1322
211105002,Riku,2016,788
211105003,Keskusta,2016,4962
211105004,Huutijärvi,2016,1581
211106001,Tiihala,2016,201
211106002,Saarikylät,2016,222
211106003,Vääksy,2016,299
211106004,Raudanmaa,2016,636
211106005,Raikku,2016,337
211201001,Sahalahti,2016,1436
211201002,Lahdenkulma,2016,360
211201003,Pakkala,2016,486
211202001,Kuhmalahden kirkonkylä,2016,575
211202002,Pohja,2016,270
211202003,Vehkajärvi,2016,138
211101001,Saarenmaa,2017,369
211101002,Haapaniemi,2017,237
211101003,Kuohenmaa,2017,175
211102001,Ilkko,2017,1347
211102002,Vatiala,2017,4056
211102003,Lamminrahka,2017,0
211103001,Lentola,2017,5377
211103002,Asema,2017,2083
211104001,Ruutana,2017,2966
211104002,Suinula,2017,896
211104003,Lihasula,2017,152
211105001,Ranta-Koivisto,2017,1307
211105002,Riku,2017,793
211105003,Keskusta,2017,5004
211105004,Huutijärvi,2017,1577
211106001,Tiihala,2017,199
211106002,Saarikylät,2017,225
211106003,Vääksy,2017,292
211106004,Raudanmaa,2017,628
211106005,Raikku,2017,331
211201001,Sahalahti,2017,1431
211201002,Lahdenkulma,2017,359
211201003,Pakkala,2017,470
211202001,Kuhmalahden kirkonkylä,2017,557
211202002,Pohja,2017,260
211202003,Vehkajärvi,2017,134
211101001,Saarenmaa,2018,366
211101002,Haapaniemi,2018,234
211101003,Kuohenmaa,2018,174
211102001,Ilkko,2018,1354
211102002,Vatiala,2018,4105
211102003,Lamminrahka,2018,0
211103001,Lentola,2018,5444
211103002,Asema,2018,2109
211104001,Ruutana,2018,2974
211104002,Suinula,2018,882
211104003,Lihasula,2018,153
211105001,Ranta-Koivisto,2018,1284
211105002,Riku,2018,814
211105003,Keskusta,2018,5113
211105004,Huutijärvi,2018,1573
211106001,Tiihala,2018,190
211106002,Saarikylät,2018,228
211106003,Vääksy,2018,303
211106004,Raudanmaa,2018,622
211106005,Raikku,2018,320
211201001,Sahalahti,2018,1420
211201002,Lahdenkulma,2018,350
211201003,Pakkala,2018,469
211202001,Kuhmalahden kirkonkylä,2018,560
211202002,Pohja,2018,260
211202003,Vehkajärvi,2018,133
211101001,Saarenmaa,2019,363
211101002,Haapaniemi,2019,227
211101003,Kuohenmaa,2019,177
211102001,Ilkko,2019,1333
211102002,Vatiala,2019,4108
211102003,Lamminrahka,2019,0
211103001,Lentola,2019,5539
211103002,Asema,2019,2098
211104001,Ruutana,2019,2956
211104002,Suinula,2019,885
211104003,Lihasula,2019,154
211105001,Ranta-Koivisto,2019,1287
211105002,Riku,2019,803
211105003,Keskusta,2019,5331
211105004,Huutijärvi,2019,1570
211106001,Tiihala,2019,204
211106002,Saarikylät,2019,229
211106003,Vääksy,2019,299
211106004,Raudanmaa,2019,611
211106005,Raikku,2019,329
211201001,Sahalahti,2019,1385
211201002,Lahdenkulma,2019,351
211201003,Pakkala,2019,452
211202001,Kuhmalahden kirkonkylä,2019,551
211202002,Pohja,2019,254
211202003,Vehkajärvi,2019,132
211101001,Saarenmaa,2020,359
211101002,Haapaniemi,2020,231
211101003,Kuohenmaa,2020,177
211102001,Ilkko,2020,1395
211102002,Vatiala,2020,4161
211102003,Lamminrahka,2020,0
211103001,Lentola,2020,5494
211103002,Asema,2020,2127
211104001,Ruutana,2020,2924
211104002,Suinula,2020,878
211104003,Lihasula,2020,151
211105001,Ranta-Koivisto,2020,1303
211105002,Riku,2020,827
211105003,Keskusta,2020,5588
211105004,Huutijärvi,2020,1576
211106001,Tiihala,2020,209
211106002,Saarikylät,2020,217
211106003,Vääksy,2020,321
211106004,Raudanmaa,2020,621
211106005,Raikku,2020,324
211201001,Sahalahti,2020,1344
211201002,Lahdenkulma,2020,348
211201003,Pakkala,2020,451
211202001,Kuhmalahden kirkonkylä,2020,564
211202002,Pohja,2020,250
211202003,Vehkajärvi,2020,129
211101001,Saarenmaa,2021,349
211101002,Haapaniemi,2021,236
211101003,Kuohenmaa,2021,187
211102001,Ilkko,2021,1462
211102002,Vatiala,2021,4174
211102003,Lamminrahka,2021,0
211103001,Lentola,2021,5591
211103002,Asema,2021,2138
211104001,Ruutana,2021,2935
211104002,Suinula,2021,872
211104003,Lihasula,2021,144
211105001,Ranta-Koivisto,2021,1335
211105002,Riku,2021,852
211105003,Keskusta,2021,5801
211105004,Huutijärvi,2021,1580
211106001,Tiihala,2021,196
211106002,Saarikylät,2021,212
211106003,Vääksy,2021,314
211106004,Raudanmaa,2021,622
211106005,Raikku,2021,316
211201001,Sahalahti,2021,1320
211201002,Lahdenkulma,2021,342
211201003,Pakkala,2021,466
211202001,Kuhmalahden kirkonkylä,2021,557
211202002,Pohja,2021,249
211202003,Vehkajärvi,2021,131
211101001,Saarenmaa,2022,342
211101002,Haapaniemi,2022,232
211101003,Kuohenmaa,2022,182
211102001,Ilkko,2022,1483
211102002,Vatiala,2022,4317
211102003,Lamminrahka,2022,0
211103001,Lentola,2022,5550
211103002,Asema,2022,2142
211104001,Ruutana,2022,2960
211104002,Suinula,2022,879
211104003,Lihasula,2022,137
211105001,Ranta-Koivisto,2022,1383
211105002,Riku,2022,912
211105003,Keskusta,2022,5950
211105004,Huutijärvi,2022,1571
211106001,Tiihala,2022,184
211106002,Saarikylät,2022,218
211106003,Vääksy,2022,310
211106004,Raudanmaa,2022,615
211106005,Raikku,2022,315
211201001,Sahalahti,2022,1338
211201002,Lahdenkulma,2022,343
211201003,Pakkala,2022,437
211202001,Kuhmalahden kirkonkylä,2022,524
211202002,Pohja,2022,247
211202003,Vehkajärvi,2022,123
